Allergic condition,Read code,Term
drug allergy,Xa61D,Digoxin allergy
drug allergy,Xa61e,Parenteral glyceryl trinitrate allergy
drug allergy,Xa61E,Digitoxin allergy
drug allergy,Xa61f,Transdermal glyceryl trinitrate allergy
drug allergy,Xa61F,Lanatoside C allergy
drug allergy,Xa61g,Glyceryl trinitrate spray allergy
drug allergy,Xa61G,Medigoxin allergy
drug allergy,Xa61h,Isosorbide dinitrate allergy
drug allergy,Xa61H,Ouabain allergy
drug allergy,Xa61i,Parenteral isosorbide dinitrate allergy
drug allergy,Xa61I,Phosphodiesterase inhibitor allergy
drug allergy,Xa61j,Oral isosorbide dinitrate allergy
drug allergy,Xa61J,Enoximone allergy
drug allergy,Xa61k,Modified release isosorbide dinitrate allergy
drug allergy,Xa61K,Milrinone allergy
drug allergy,Xa61l,Isosorbide mononitrate allergy
drug allergy,Xa61L,Vasoconstrictor allergy
drug allergy,Xa61m,Modified release isosorbide mononitrate allergy
drug allergy,Xa61M,Ergot compound allergy
drug allergy,Xa61n,Pentaerithrityl tetranitrate allergy
drug allergy,Xa61N,Co-dergocrine allergy
drug allergy,Xa61o,Peripheral/cerebral vasodilator allergy
drug allergy,Xa61O,Ergot alkaloid allergy
drug allergy,Xa61p,Bamethan sulphate allergy
drug allergy,Xa61P,Dihydroergotamine mesylate allergy
drug allergy,Xa61q,Pentoxifylline allergy
drug allergy,Xa61Q,Ergometrine allergy
drug allergy,Xa61r,Cyclandelate allergy
drug allergy,Xa61R,Vasodilator allergy
drug allergy,Xa61s,Nicofuranose allergy
drug allergy,Xa61S,Vasodilator antihypertensive drug allergy
drug allergy,Xa61t,Inositol nicotinate allergy
drug allergy,Xa61T,Minoxidil allergy
drug allergy,Xa61u,Isoxsuprine allergy
drug allergy,Xa61U,Sodium nitroprusside allergy
drug allergy,Xa61v,Naftidrofuryl allergy
drug allergy,Xa61V,Flosequinan allergy
drug allergy,Xa61w,Nicotinyl alcohol allergy
drug allergy,Xa61W,Diazoxide allergy
drug allergy,Xa61x,Alpha blocking vasodilator allergy
drug allergy,Xa61X,Hydralazine allergy
drug allergy,Xa61y,Moxisylyte allergy
drug allergy,Xa61Y,Nicorandil allergy
drug allergy,Xa61z,Betahistine allergy
drug allergy,Xa61Z,Dipyridamole allergy
drug allergy,Xa620,Antivaricose agent allergy
drug allergy,Xa621,Sodium tetradecyl sulphate allergy
drug allergy,Xa622,Ethanolamine allergy
drug allergy,Xa623,Medicinal enzyme allergy
drug allergy,Xa624,Streptokinase allergy
drug allergy,Xa625,Urokinase allergy
drug allergy,Xa626,Alteplase allergy
drug allergy,Xa627,Anistreplase allergy
drug allergy,Xa628,Bromelains allergy
drug allergy,Xa629,Deoxyribonuclease allergy
drug allergy,Xa62A,Hyaluronidase allergy
drug allergy,Xa62B,Streptokinase streptodornase allergy
drug allergy,Xa62C,Chymotrypsin allergy
drug allergy,Xa6mG,Paracetamol and dextropropoxyphene allergy
drug allergy,XaadN,H/O: rotavirus vaccine allergy
drug allergy,XacIR,Aliskiren allergy
drug allergy,XacIS,Prasugrel allergy
drug allergy,XacIT,Ticagrelor allergy
drug allergy,Xad9o,Rivaroxaban allergy
drug allergy,Xad9p,Apixaban allergy
drug allergy,XaDzd,[V]Personal history of aspirin allergy
drug allergy,XaDze,[V]Personal history of co-proxamol allergy
drug allergy,XaIAA,H/O: influenza vaccine allergy
drug allergy,XaIpk,H/O: aspirin allergy
drug allergy,XaJ3e,H/O: clopidogrel allergy
drug allergy,XaJ5x,H/O: betablocker allergy
drug allergy,XaJ5y,H/O: angiotensin converting enzyme inhibitor allergy
drug allergy,XaJ5z,H/O: angiotensin II receptor antagonist allergy
drug allergy,XaJ60,H/O: warfarin allergy
drug allergy,XaJ8B,[V]Personal history of warfarin allergy
drug allergy,XaJ8U,[V]Personal history of betablocker allergy
drug allergy,XaJ8V,[V]Personal history of clopidogrel allergy
drug allergy,XaJ8W,[V]PH of angiotensin II receptor antagonist allergy
drug allergy,XaJ8X,[V]Personal history of influenza vaccine allergy
drug allergy,XaJ8Y,[V]PH angiotensin-converting-enzyme inhibitor allergy
drug allergy,XaKap,H/O: combined calcium and vitamin D3 preparation allergy
drug allergy,XaKar,H/O: bisphosphonate allergy
drug allergy,XaKas,H/O: selective oestrogen receptor modulator allergy
drug allergy,XaKat,H/O: strontium ranelate allergy
drug allergy,XaKdj,[V]Personal history of strontium ranelate allergy
drug allergy,XaKdR,[V]PH of selective oestrogen receptor modulator allergy
drug allergy,XaKdW,[V]Personal history of bisphosphonate allergy
drug allergy,XaKdX,[V]Personal history of calcium allergy
drug allergy,XaKdY,[V]Personal history of vitamin D3 allergy
drug allergy,XaKFa,H/O: pneumococcal vaccine allergy
drug allergy,XaKJr,[V]Personal history of pneumococcal vaccine allergy
drug allergy,XaLGR,Transfer-degraded drug allergy
drug allergy,XaLHt,H/O: dipyridamole allergy
drug allergy,XaQaf,[X]Personal history of allergy to bisoprolol
drug allergy,XaQag,[X]Personal history of allergy to carvedilol
drug allergy,XaQah,[X]Personal history of allergy to nebivolol
drug allergy,XaRAf,Myroxylon pereirae allergy
drug allergy,XaXgz,Phosphodiesterase-5 inhibitor allergy
drug allergy,XaYOi,Tramadol allergy
drug allergy,XaYSa,H/O: raloxifene allergy
drug allergy,XaYSb,H/O: teriparatide allergy
drug allergy,XaZef,H/O ibandronic acid allergy
drug allergy,XaZeh,H/O zoledronic acid monohydrate allergy
drug allergy,XaZei,H/O denosumab allergy
drug allergy,XaZej,H/O calcitonin allergy
drug allergy,XaZfi,H/O disodium etidronate allergy
drug allergy,XaZfj,H/O alendronic acid allergy
drug allergy,XaZfk,H/O risedronate sodium allergy
drug allergy,XE1Aw,Ingestion dermatitis due to drugs
drug allergy,XE1os,Drug hypersensitivity NOS
drug allergy,XE1tJ,Drug hypersensitivity (& [NOS])
drug allergy,Y077d,Transfer-degraded drug allergy
drug allergy,ZV14.,[V]Personal history of drug allergy
drug allergy,ZV140,[V]Personal history of penicillin allergy
drug allergy,ZV141,[V]Personal history of other antibiotic allergy
drug allergy,ZV142,[V]Personal history of sulphonamide allergy
drug allergy,ZV143,[V]Personal history of other anti-infective agent allergy
drug allergy,ZV144,[V]Personal history of anaesthetic agent allergy
drug allergy,ZV145,[V]Personal history of narcotic agent allergy
drug allergy,ZV146,[V]Personal history of analgesic agent allergy
drug allergy,ZV147,[V]Personal history of serum or vaccine allergy
drug allergy,ZV148,[V]Personal history of aspirin allergy
drug allergy,ZV149,[V]Personal history of co-proxamol allergy
drug allergy,ZV14A,[V]Personal history of warfarin allergy
drug allergy,ZV14B,[V]Personal history of clopidogrel allergy
drug allergy,ZV14C,[V]Personal history of betablocker allergy
drug allergy,ZV14D,[V]Personal history of angiotensin-converting-enzyme inhibitor allergy
drug allergy,ZV14E,[V]Personal history of angiotensin II receptor antagonist allergy
drug allergy,ZV14F,[V]Personal history of influenza vaccine allergy
drug allergy,ZV14G,[V]Personal history of pneumococcal vaccine allergy
drug allergy,ZV14H,[V]Personal history of strontium ranelate allergy
drug allergy,ZV14J,[V]Personal history of selective oestrogen receptor modulator allergy
drug allergy,ZV14K,[V]Personal history of bisphosphonate allergy
drug allergy,ZV14L,[V]Personal history of calcium allergy
drug allergy,ZV14M,[V]Personal history of vitamin D3 allergy
drug allergy,ZV14y,[V]Personal history of other specified drug allergy
drug allergy,ZV14z,[V]Personal history of unspecified drug allergy
drug allergy,ZVu6i,[X]Pers hist allerg bisoprolol
drug allergy,ZVu6M,[X]Personal history of allergy to other antibiotic agents
drug allergy,ZVu6N,[X]Personal history/allergy to other anti-infective agents
drug allergy,ZVu6o,[X]Pers hist allerg carvedilol
drug allergy,ZVu6q,[X]Pers hist allergy nebivolol
eczema,14F1.,H/O: eczema
eczema,26C4.,Nipple eczema
eczema,F4D02,Squamous blepharitis
eczema,F4D3.,Non-infectious dermatosis of eyelid
eczema,F4D30,Eczematous eyelid dermatitis
eczema,F4D31,Contact eczema - eyelids
eczema,F4D32,Ichthyosis of eyelid
eczema,F4D3z,Non-infected eyelid dermatoses NOS
eczema,F4D5.,Other eyelid infective dermatitis
eczema,M100.,Seborrhoeic dermatitis of scalp
eczema,M101.,Seborrhoeic dermatitis (& capitis)
eczema,M104.,Pityriasis simplex
eczema,M11..,Atopic dermatitis and related conditions
eczema,M110.,Napkin dermatitis
eczema,M111.,Atopic dermatitis/eczema
eczema,M112.,Infantile eczema
eczema,M113.,Flexural eczema
eczema,M114.,Allergic (intrinsic) eczema
eczema,M115.,Besnier's prurigo
eczema,M116.,Brocq's neurodermatitis
eczema,M117.,Atopic neurodermatitis
eczema,M118.,Infantile seborrhoeic dermatitis
eczema,M1180,Cradle cap
eczema,M118z,Infantile seborrhoeic dermatitis NOS
eczema,M119.,Discoid eczema
eczema,M11A.,Asteatotic eczema
eczema,M11z.,Atopic dermatitis NOS
eczema,M12..,Contact eczema
eczema,M120.,Contact dermatitis due to detergents
eczema,M121.,Contact dermatitis due to oils and greases
eczema,M122.,Contact dermatitis due to solvents
eczema,M1220,Contact dermatitis due to chlorocompound
eczema,M1221,Contact dermatitis due to cyclohexane
eczema,M1222,Contact dermatitis due to ester
eczema,M1223,Contact dermatitis due to glycol
eczema,M1224,Contact dermatitis due to hydrocarbon
eczema,M1225,Contact dermatitis due to ketone
eczema,M122z,Contact dermatitis due to solvent NOS
eczema,M123.,Contact dermatitis due to drugs and medicaments
eczema,M1230,Contact dermatitis due to arnica
eczema,M1231,Contact dermatitis due to fungicides
eczema,M1232,Contact dermatitis due to iodine
eczema,M1233,Contact dermatitis due to keratolytics
eczema,M1234,Contact dermatitis due to mercurials
eczema,M1235,Contact dermatitis due to neomycin
eczema,M1236,Contact dermatitis due to pediculocides
eczema,M1237,Contact dermatitis due to phenols
eczema,M1238,Contact dermatitis due to scabicides
eczema,M123z,Contact dermatitis due to medicament NOS
eczema,M124.,Contact dermatitis due to other chemical products
eczema,M1240,Contact dermatitis due to acids
eczema,M1241,Contact dermatitis due to adhesive plaster
eczema,M1242,Contact dermatitis due to alkalis
eczema,M1243,Contact dermatitis due to caustics
eczema,M1244,Contact dermatitis due to dichromate
eczema,M1245,Contact dermatitis due to insecticide
eczema,M1246,Contact dermatitis due to nylon
eczema,M1247,Contact dermatitis due to plastic
eczema,M1248,Contact dermatitis due to rubber
eczema,M124z,Contact dermatitis: other chemicals NOS
eczema,M125.,Contact dermatitis due to food in contact with skin
eczema,M1250,Contact dermatitis due to cereals
eczema,M1251,Contact dermatitis due to fish
eczema,M1252,Contact dermatitis due to flour
eczema,M1253,Contact dermatitis due to fruit
eczema,M1254,Contact dermatitis due to meat
eczema,M1255,Contact dermatitis due to milk
eczema,M125z,Contact dermatitis due to food NOS
eczema,M126.,Contact dermatitis due to plants
eczema,M1260,Contact dermatitis due to lacquer tree
eczema,M1261,Contact dermatitis due to poison-ivy
eczema,M1262,Contact dermatitis due to poison-oak
eczema,M1263,Contact dermatitis due to poison-sumac
eczema,M1264,Contact dermatitis due to poison-vine
eczema,M1265,Contact dermatitis due to primrose
eczema,M1266,Contact dermatitis due to ragweed
eczema,M126z,Contact dermatitis due to plants NOS
eczema,M127.,Contact dermatitis due to solar radiation
eczema,M1270,Unspecified contact dermatitis due to solar radiation
eczema,M1272,Hydroa aestivale
eczema,M1273,Photodermatitis
eczema,M127z,Contact dermatitis due to solar radn NOS
eczema,M128.,Allergic contact dermatitis
eczema,M1280,Allergic contact dermatitis due to adhesives
eczema,M1281,Allergic contact dermatitis due to cosmetics
eczema,M1282,Allergic contact dermatitis due to drugs in contact with the skin
eczema,M1283,Allergic contact dermatitis due to dyes
eczema,M1284,Allergic contact dermatitis due to other chemical products
eczema,M1285,Allergic contact dermatitis due to food in contact with the skin
eczema,M1286,"Allergic contact dermatitis due to plants, except food"
eczema,M129.,Irritant contact dermatitis
eczema,M1290,Irritant contact dermatitis due to cosmetics
eczema,M1291,Irritant contact dermatitis due to drugs in contact with the skin
eczema,M1292,Irritant contact dermatitis due to other chemical products
eczema,M1293,Irritant contact dermatitis due to food in contact with the skin
eczema,M1294,"Irritant contact dermatitis due to plants, except food"
eczema,M12y.,Contact dermatitis due to other specified agents
eczema,M12y0,Contact dermatitis due to cosmetics
eczema,M12y1,Contact dermatitis due to cold weather
eczema,M12y2,Contact dermatitis due to dyes
eczema,M12y3,Contact dermatitis due to furs
eczema,M12y4,Contact dermatitis due to hot weather
eczema,M12y5,Contact dermatitis due to infra-red rays
eczema,M12y6,Contact dermatitis due to jewellery
eczema,M12y7,Contact dermatitis due to light (excluding sunlight)
eczema,M12y8,Contact dermatitis due to metals
eczema,M12y9,Contact dermatitis due to preservatives
eczema,M12yA,Contact dermatitis due to radiation NOS
eczema,M12yB,Contact dermatitis due to ultra-violet rays (excluding sunlight)
eczema,M12yC,Contact dermatitis due to x-rays
eczema,M12yD,Contact dermatitis due to casting materials
eczema,M12yz,Contact dermatitis: specified agent NOS
eczema,M12z.,Contact dermatitis NOS
eczema,M12z0,Dermatitis NOS
eczema,M12z1,Eczema NOS
eczema,M12z3,Hand eczema
eczema,M12z4,Erythrodermic eczema
eczema,M12zz,Contact dermatitis NOS
eczema,M13..,Ingestion dermatitis
eczema,M130.,Ingestion dermatitis due to drugs
eczema,M1302,Drug-induced erythroderma
eczema,M131.,Ingestion dermatitis due to food
eczema,M13y.,Ingestion dermatitis due to other specified substance
eczema,M13z.,Ingestion dermatitis NOS
eczema,M1536,Periocular dermatitis
eczema,M1650,Pityriasis alba
eczema,M17y.,Other lichen NEC
eczema,M17yz,Other lichen NEC NOS
eczema,M17z.,Lichen NOS
eczema,M182.,Prurigo
eczema,M1821,Hebra's prurigo
eczema,M1822,Prurigo mitis
eczema,M1823,Prurigo simplex
eczema,M182z,Prurigo NOS
eczema,M183.,Lichenification and lichen simplex chronicus
eczema,M1830,Prurigo nodularis
eczema,M1831,Lichen simplex
eczema,M1832,Lichen simplex
eczema,M183z,Lichenification NOS
eczema,M1B..,Juvenile plantar dermatosis
eczema,M1y0.,Discoid eczema
eczema,M1y2.,Gravitational eczema
eczema,M21A.,Asteatotic eczema
eczema,M2520,Dyshidrosis unspecified
eczema,M2521,Pompholyx unspecified
eczema,M2522,Cheiropompholyx
eczema,M2523,Podopompholyx
eczema,M252z,Dyshidrosis NOS
eczema,Myu2.,[X]Dermatitis and eczema
eczema,Myu20,[X]Other seborrhoeic dermatitis
eczema,Myu21,[X]Allergic contact dermatitis due to oth chemical products
eczema,Myu22,[X]Exacerbation of eczema
eczema,Myu23,[X]Allergic contact dermatitis due to other agents
eczema,Myu24,[X]Irritant contact dermatitis due to oth chemical products
eczema,Myu25,[X]Irritant contact dermatitis due to other agents
eczema,Myu26,[X]Unspcfd contact dermatitis due to other chemical products
eczema,Myu27,[X]Unspecified contact dermatitis due to other agents
eczema,Myu28,[X]Dermatitis due to other substances taken internally
eczema,Myu29,[X]Dermatitis due to unspecified substance taken internally
eczema,Myu2A,[X]Other prurigo
eczema,Myu2C,[X]Other specified dermatitis
eczema,Ua1AR,Occupational eczema
eczema,X00iS,Neurodermatitis of external ear
eczema,X00YO,Seborrhoeic blepharitis
eczema,X30Cp,Peristomal dermatitis
eczema,X40Fx,Nipple eczema
eczema,X504O,Fibreglass dermatitis
eczema,X504v,Photoallergic eczema
eczema,X505a,Apron pattern of vesicular eczema of hands
eczema,X505b,Hyperkeratotic fissured hand eczema
eczema,X505c,Hyperkeratotic eczema of palms
eczema,X505d,Constitutional discoid hand eczema
eczema,X505e,Constitutional fingertip eczema
eczema,X505f,Constitutional eczema of feet
eczema,X505g,Acute podopompholyx
eczema,X505h,Chronic podopompholyx
eczema,X505H,Cactus dermatitis
eczema,X505i,Hyperkeratotic eczema of soles
eczema,X505j,Discoid eczema
eczema,X505k,Discoid hand eczema
eczema,X505K,Eczema
eczema,X505l,Psoriasiform eczema
eczema,X505L,Hand eczema
eczema,X505M,Constitutional eczema
eczema,X505N,Atopic dermatitis of hands
eczema,X505o,Truncal seborrhoeic dermatitis
eczema,X505O,Inverse pattern atopic dermatitis
eczema,X505p,Flexural seborrhoeic dermatitis
eczema,X505P,Discoid atopic dermatitis
eczema,X505q,Seborrhoeide
eczema,X505Q,Erythrodermic atopic dermatitis
eczema,X505r,Grease contact dermatitis
eczema,X505R,Follicular atopic dermatitis
eczema,X505s,Oil contact dermatitis
eczema,X505S,Pruriginous atopic dermatitis
eczema,X505t,Elastoplast contact dermatitis
eczema,X505T,Photosensitive atopic dermatitis
eczema,X505u,Egg contact dermatitis
eczema,X505U,Photoaggravated atopic dermatitis
eczema,X505v,Lanolin contact dermatitis
eczema,X505V,Constitutional eczema of hands and feet
eczema,X505w,Perfume contact dermatitis
eczema,X505W,Acute cheiropodopompholyx
eczema,X505x,Allergic contact dermatitis
eczema,X505X,Hyperkeratotic eczema of hands and feet
eczema,X505y,Nickel sensitivity
eczema,X505Y,Discoid eczema of hands and feet
eczema,X505z,Implant allergic nickel contact dermatitis
eczema,X505Z,Constitutional eczema of hands
eczema,X5060,Ingested allergen contact dermatitis
eczema,X5061,Photoallergic contact dermatitis
eczema,X5062,Occupational allergic contact dermatitis
eczema,X5063,Irritant contact dermatitis
eczema,X5064,Acute irritant contact dermatitis
eczema,X5065,Subacute irritant contact dermatitis
eczema,X5066,Chronic irritant contact dermatitis
eczema,X5067,Jacquet's dermatitis
eczema,X5068,Saliva-induced contact dermatitis
eczema,X5069,Faeces-induced contact dermatitis
eczema,X506C,Brocq's neurodermatitis
eczema,X506E,Subacute prurigo
eczema,X506F,Chronic prurigo
eczema,X506G,Dermographic prurigo
eczema,X506I,Juvenile plantar dermatosis
eczema,X506J,Disseminated secondary eczema
eczema,X506K,Gravitational eczema
eczema,X506L,Chronic superficial scaly dermatitis
eczema,X506M,Eosinophilic pustular folliculitis
eczema,X506N,Exudative discoid and lichenoid dermatosis
eczema,X506O,Papular eczema with elimination of papillary oedema
eczema,X506Q,Asteatotic eczema
eczema,X506T,Erythroderma
eczema,X506U,Site-specific eczema
eczema,X50Gj,Eczematous drug eruption
eczema,X50Gk,Seborrhoeic eczema-like eruption
eczema,X50Gm,Drug-induced erythroderma
eczema,Xa0p8,Dermatitis of eyelid
eczema,Xa0Wg,Baboon syndrome
eczema,Xa0WJ,Swimming pool dermatitis
eczema,Xa13g,Coral dermatitis
eczema,Xa1dl,Unclassifiable eczema
eczema,Xa3gI,Contact dermatitis - chemicals
eczema,Xa3gJ,Contact dermatitis - foods/plants
eczema,Xa4jb,Nipple eczema
eczema,Xa7lb,Eczema of wrist
eczema,Xa7lZ,Eczema of face
eczema,Xa9Bb,Contact dermatitis of eyelid
eczema,Xa9CV,Contact dermatitis
eczema,XaBml,Eczema of leg
eczema,XaBmm,Eczema of foot
eczema,XaBsL,Chronic lichenified atopic dermatitis
eczema,XaEJY,Varicose veins of leg in long saph vein distribn with eczema
eczema,XaEJZ,Varicose veins of leg in short saph vein distrib with eczema
eczema,XaINK,Dry eczema
eczema,XaINM,Exacerbation of eczema
eczema,XaL2Q,Periocular dermatitis
eczema,XaY4a,Pustular eczema
eczema,XaYX9,Irritant contact dermatitis due to incontinence
eczema,XE16i,Contact or allergic eyelid dermatitis
eczema,XE1An,Seborrhoeic dermatitis
eczema,XE1Ap,Contact dermatitis and other eczemas
eczema,XE1Aq,Contact dermatitis due to oils and greases
eczema,XE1Ar,Contact dermatitis due to adhesive plaster
eczema,XE1As,Contact dermatitis due to food NOS
eczema,XE1At,Contact dermatitis due to cosmetics
eczema,XE1Au,Contact dermatitis due to metals
eczema,XE1Av,Eczema NOS
eczema,XE1Aw,Ingestion dermatitis due to drugs
eczema,XE1C4,Seborrhoeic dermatitis/eczema NOS
eczema,XE1C6,Atopic eczema/dermatitis NOS
eczema,XE1C8,Contact dermat/eczema (& [extrins allerg ecz][occupat ecz])
eczema,XE1CA,Contact dermatitis: [chemicals] or [elastoplast allergy]
eczema,XE1CE,Contact dermatitis: metals(& [nickel])
eczema,XE1CG,(Contact dermat NOS) or (discoid eczema) or (nummul eczema)
eczema,XE1CI,Dermatitis &/or eczemas NOS
eczema,XE1Cu,(Pompholyx) or (cheiropompholyx) or (podopompholyx)
eczema,XE1CW,Neurodermatitis
eczema,XM1GA,Pompholyx
eczema,Y033e,Contact dermatitis due to dressing
eczema,Y3295,Other atopic dermatitis
eczema,Y7351,Intrinsic (allergic) eczema
food allergy,14M1.,H/O: food allergy
food allergy,8CA4S,Dietary education for food allergy
food allergy,SN500,Anaphylactic shock due to adverse food reaction
food allergy,SN58.,Food allergy
food allergy,SN580,Egg allergy
food allergy,SN581,Egg protein allergy
food allergy,SN582,Peanut allergy
food allergy,SN583,Nut allergy
food allergy,SN584,Wheat allergy
food allergy,SN585,Fish allergy
food allergy,SN586,Seafood allergy
food allergy,SN587,Shellfish allergy
food allergy,SN588,Mushroom allergy
food allergy,SN589,Allergy to strawberries
food allergy,SN58A,Allergy to soya
food allergy,SN58B,Allergy to banana
food allergy,SN58C,Allergy to tomato
food allergy,X70vm,Food-induced anaphylaxis
food allergy,X70vn,Peanut-induced anaphylaxis
food allergy,X70vo,Seafood-induced anaphylaxis
food allergy,X70vp,Egg white-induced anaphylaxis
food allergy,X70vq,Cow's milk protein-induced anaphylaxis
food allergy,X70w1,Food-induced anaphylactoid reaction
food allergy,X70wD,Food-induced angio-oedema-urticaria
food allergy,Xa1aX,Food allergy
food allergy,Xa1nm,Egg allergy
food allergy,Xa1nn,Cow's milk allergy
food allergy,Xa1no,Peanut allergy
food allergy,Xa1np,Seafood allergy
food allergy,Xa2hN,Dietary education for food allergy
food allergy,Xa7lI,Allergy to strawberries
food allergy,Xa7lJ,Nut allergy
food allergy,Xa7lN,Chocolate allergy
food allergy,Xa7lO,Shellfish allergy
food allergy,Xa7lP,Cheese allergy
food allergy,Xaa0d,Allergy to soya
food allergy,XabWn,Allergy to banana
food allergy,Xad15,Allergy to tomato
food allergy,XaG0G,[V]Personal history of food induced anaphylaxis
food allergy,XaOYT,Wheat allergy
food allergy,XaPlY,Non-coeliac gluten sensitivity
food allergy,XaQaY,Fish allergy
food allergy,XaXYk,Mushroom allergy
food allergy,XaYPH,Gluten sensitivity
food allergy,Y06ac,Wheat Allergy
food allergy,ZV1B3,[V]Personal history of food induced anaphylaxis
other allergy,14M..,H/O: non-drug allergy
other allergy,14M2.,H/O: plant allergy
other allergy,14M3.,H/O: multiple allergies
other allergy,14M4.,H/O: cat allergy
other allergy,3354.,Skin: type 3 delayed reaction
other allergy,3355.,Skin: type 1 immediate reaction
other allergy,3356.,Skin: type 4 late reaction
other allergy,3359.,Allergy skin test positive
other allergy,3368.,Allergy test positive
other allergy,66G..,Allergic disorder monitoring
other allergy,66G1.,Allergic dis. initial assessm.
other allergy,66G2.,Allergic dis. follow-up assess
other allergy,66G3.,Allergic dis.- symptom change
other allergy,66G5.,Allergy treatment changed
other allergy,66G6.,Allergy dis.treatment started
other allergy,66G7.,Allergy dis.treatment stopped
other allergy,66GZ.,Allergic dis. monitoring NOS
other allergy,8Hld.,Refer to clinical allergy serv
other allergy,8HVK0,Private ref allergy specialist
other allergy,9b9W.,Allergy - specialty 
other allergy,9bJ5.,Trans-degrade non-drug allergy
other allergy,9NlX.,Seen by clinic allergy - serv
other allergy,D310.,Allergic purpura
other allergy,D3101,Henoch-Schonlein nephritis
other allergy,D310z,Allergic purpura NOS
other allergy,D4033,Allergic eosinophilia
other allergy,F5130,Chronic allergic otitis media
other allergy,F5140,Allergic otitis media NOS
other allergy,H1710,Allergy to animal
other allergy,H1711,Dog allergy
other allergy,H35..,Extrinsic allergic alveolitis
other allergy,H350.,Farmers' lung
other allergy,H351.,Bagassosis
other allergy,H352.,Bird-fancier's lung
other allergy,H3520,Budgerigar-fanciers' lung
other allergy,H3521,Pigeon-fanciers' lung
other allergy,H352z,Bird-fancier's lung NOS
other allergy,H353.,Suberosis ( cork-handlers' lung )
other allergy,H354.,Malt workers' lung
other allergy,H355.,Mushroom workers' lung
other allergy,H356.,Maple bark strippers' lung
other allergy,H357.,Ventilation pneumonitis
other allergy,H35y.,Other allergic alveolitis
other allergy,H35y0,Cheese-washers' lung
other allergy,H35y1,Coffee-workers' lung
other allergy,H35y2,Fish-meal workers' lung
other allergy,H35y3,Furriers' lung
other allergy,H35y4,Grain-handlers' disease
other allergy,H35y5,Pituitary snuff-takers' disease
other allergy,H35y8,Air-conditioner and humidifier lung
other allergy,H35yz,Other allergic alveolitis NOS
other allergy,H35z.,Allergic alveolitis and pneumonitis NOS
other allergy,H35z0,Allergic extrinsic alveolitis NOS
other allergy,H35z1,Hypersensitivity pneumonitis NOS
other allergy,H35zz,Allergic alveolitis and pneumonitis NOS
other allergy,J0720,Allergic parotitis
other allergy,J1540,Allergic gastritis
other allergy,J432.,Allergic gastroentiritis and colitis
other allergy,J4320,Allergic gastroenteritis
other allergy,J4321,Allergic enteritis
other allergy,J4322,Allergic enterocolitis
other allergy,J4323,Allergic colitis
other allergy,J432z,Allergic gastroenteritis NOS
other allergy,N062.,Allergic arthritis
other allergy,N0620,Allergic arthritis of unspecified site
other allergy,N0621,Allergic arthritis of the shoulder region
other allergy,N0622,Allergic arthritis of the upper arm
other allergy,N0623,Allergic arthritis of the forearm
other allergy,N0624,Allergic arthritis of the hand
other allergy,N0625,Allergic arthritis of the pelvic region and thigh
other allergy,N0626,Allergic arthritis of the lower leg
other allergy,N0627,Allergic arthritis of the ankle and foot
other allergy,N0628,Allergic arthritis of other specified site
other allergy,N0629,Allergic arthritis of multiple sites
other allergy,N062z,Allergic arthritis NOS
other allergy,SN53.,Allergy
other allergy,SN530,Allergic reaction
other allergy,SN531,Latex allergy
other allergy,SN532,Allergic reaction tattoo ink
other allergy,SN533,Atopy
other allergy,SN59.,Venom allergy
other allergy,SN590,Allergic reaction to bee sting
other allergy,SN591,Allergic reaction to insect bite
other allergy,SN592,Allergic reaction to wasp sting
other allergy,SN593,Anaphylactic shock due to bee sting
other allergy,SN594,Anaphylactic shock due to wasp sting
other allergy,SN5A.,Oral allergy syndrome
other allergy,SN5B.,Allergy to stainless steel
other allergy,X00l3,Cat allergy
other allergy,X00l4,Dander (animal) allergy
other allergy,X00l5,Feather allergy
other allergy,X00l6,House dust allergy
other allergy,X00l7,House dust mite allergy
other allergy,X30Bq,Allergic diarrhoea
other allergy,X70vh,Acute allergic reaction
other allergy,X70vi,Venom-induced anaphylaxis
other allergy,X70vj,Bee sting-induced anaphylaxis
other allergy,X70vk,Wasp sting-induced anaphylaxis
other allergy,X70wC,Venom-induced angio-oedema-urticaria
other allergy,X79pp,Allergy - mechanism
other allergy,Xa1pQ,Allergic disorder
other allergy,Xa1zh,Allergic reaction to substance
other allergy,Xa1zi,Allergic reaction to venom
other allergy,Xa1zj,Allergic reaction to insect venom
other allergy,Xa1zk,Allergic reaction to bee sting
other allergy,Xa7lH,Perfume allergy
other allergy,Xa7lK,Allergic reaction to wasp sting
other allergy,Xa7lL,Allergy to pollen
other allergy,Xa7lM,Allergy to animal hair
other allergy,Xa7lQ,Metal allergy
other allergy,Xa7lR,Latex allergy
other allergy,Xaacn,Referral to paediatric allergy service
other allergy,XaAcO,Referral to clinical allergy service
other allergy,XaAlN,Discharge from clinical allergy service
other allergy,XaANA,Admission to clinical allergy department
other allergy,XaAVM,Seen by clinical allergy - service
other allergy,XaB3a,Allergic skin rash
other allergy,XaeXG,Allergy to stainless steel
other allergy,XaIO5,H/O: cat allergy
other allergy,XaIpW,Allergy to animal
other allergy,XaIRZ,Dust allergy
other allergy,XaJKf,Allergy - specialty
other allergy,XaLGS,Transfer-degraded non-drug allergy
other allergy,XaLKU,Allergy to plasters
other allergy,XaNfE,Oral allergy syndrome
other allergy,XaO5S,Allergic reaction to tattoo ink
