cat2,read_term,read_code
drug allergy,Quinapril allergy,Xa60z
drug allergy,Ramipril allergy,Xa610
drug allergy,Cilazapril allergy,Xa611
drug allergy,Trandolapril allergy,Xa612
drug allergy,Enalapril allergy,Xa613
drug allergy,Fosinopril allergy,Xa614
drug allergy,Perindopril allergy,Xa615
drug allergy,Ganglion-blocking drug allergy,Xa616
drug allergy,Trimetaphan allergy,Xa617
drug allergy,Metirosine allergy,Xa618
drug allergy,Losartan allergy,Xa619
drug allergy,Rauwolfia antihypertensive allergy,Xa61A
drug allergy,Cardiac inotropic agent allergy,Xa61B
drug allergy,Cardiac glycoside allergy,Xa61C
drug allergy,Digoxin allergy,Xa61D
drug allergy,Digitoxin allergy,Xa61E
drug allergy,Lanatoside C allergy,Xa61F
drug allergy,Medigoxin allergy,Xa61G
drug allergy,Ouabain allergy,Xa61H
drug allergy,Phosphodiesterase inhibitor allergy,Xa61I
drug allergy,Enoximone allergy,Xa61J
drug allergy,Milrinone allergy,Xa61K
drug allergy,Vasoconstrictor allergy,Xa61L
drug allergy,Ergot compound allergy,Xa61M
drug allergy,Co-dergocrine allergy,Xa61N
drug allergy,Ergot alkaloid allergy,Xa61O
drug allergy,Dihydroergotamine mesylate allergy,Xa61P
drug allergy,Ergometrine allergy,Xa61Q
drug allergy,Vasodilator allergy,Xa61R
drug allergy,Vasodilator antihypertensive drug allergy,Xa61S
drug allergy,Minoxidil allergy,Xa61T
drug allergy,Sodium nitroprusside allergy,Xa61U
drug allergy,Flosequinan allergy,Xa61V
drug allergy,Diazoxide allergy,Xa61W
drug allergy,Hydralazine allergy,Xa61X
drug allergy,Nicorandil allergy,Xa61Y
drug allergy,Dipyridamole allergy,Xa61Z
drug allergy,Nitrate vasodilator allergy,Xa61a
drug allergy,Glyceryl trinitrate allergy,Xa61b
drug allergy,Oral glyceryl trinitrate allergy,Xa61c
drug allergy,Modified release GTN allergy,Xa61d
drug allergy,Parenteral glyceryl trinitrate allergy,Xa61e
drug allergy,Transdermal glyceryl trinitrate allergy,Xa61f
drug allergy,Glyceryl trinitrate spray allergy,Xa61g
drug allergy,Isosorbide dinitrate allergy,Xa61h
drug allergy,Parenteral isosorbide dinitrate allergy,Xa61i
drug allergy,Oral isosorbide dinitrate allergy,Xa61j
drug allergy,Modified release isosorbide dinitrate allergy,Xa61k
drug allergy,Isosorbide mononitrate allergy,Xa61l
drug allergy,Modified release isosorbide mononitrate allergy,Xa61m
drug allergy,Pentaerithrityl tetranitrate allergy,Xa61n
drug allergy,Peripheral/cerebral vasodilator allergy,Xa61o
drug allergy,Bamethan sulphate allergy,Xa61p
drug allergy,Pentoxifylline allergy,Xa61q
drug allergy,Cyclandelate allergy,Xa61r
drug allergy,Nicofuranose allergy,Xa61s
drug allergy,Inositol nicotinate allergy,Xa61t
drug allergy,Isoxsuprine allergy,Xa61u
drug allergy,Naftidrofuryl allergy,Xa61v
drug allergy,Nicotinyl alcohol allergy,Xa61w
drug allergy,Alpha blocking vasodilator allergy,Xa61x
drug allergy,Moxisylyte allergy,Xa61y
drug allergy,Betahistine allergy,Xa61z
drug allergy,Antivaricose agent allergy,Xa620
drug allergy,Sodium tetradecyl sulphate allergy,Xa621
drug allergy,Ethanolamine allergy,Xa622
drug allergy,Medicinal enzyme allergy,Xa623
drug allergy,Streptokinase allergy,Xa624
drug allergy,Urokinase allergy,Xa625
drug allergy,Alteplase allergy,Xa626
drug allergy,Anistreplase allergy,Xa627
drug allergy,Bromelains allergy,Xa628
drug allergy,Deoxyribonuclease allergy,Xa629
drug allergy,Hyaluronidase allergy,Xa62A
drug allergy,Streptokinase streptodornase allergy,Xa62B
drug allergy,Chymotrypsin allergy,Xa62C
drug allergy,Paracetamol and dextropropoxyphene allergy,Xa6mG
drug allergy,[V]PH of angiotensin II receptor antagonist allergy,XaJ8W
drug allergy,[V]PH angiotensin-converting-enzyme inhibitor allergy,XaJ8Y
drug allergy,H/O: bisphosphonate allergy,XaKar
drug allergy,[V]PH of selective oestrogen receptor modulator allergy,XaKdR
drug allergy,Transfer-degraded drug allergy,XaLGR
drug allergy,Myroxylon pereirae allergy,XaRAf
drug allergy,Phosphodiesterase-5 inhibitor allergy,XaXgz
drug allergy,Tramadol allergy,XaYOi
drug allergy,H/O: raloxifene allergy,XaYSa
drug allergy,H/O: teriparatide allergy,XaYSb
drug allergy,H/O ibandronic acid allergy,XaZef
drug allergy,H/O zoledronic acid monohydrate allergy,XaZeh
drug allergy,H/O denosumab allergy,XaZei
drug allergy,H/O calcitonin allergy,XaZej
drug allergy,H/O disodium etidronate allergy,XaZfi
drug allergy,H/O alendronic acid allergy,XaZfj
drug allergy,H/O risedronate sodium allergy,XaZfk
drug allergy,H/O: rotavirus vaccine allergy,XaadN
drug allergy,Aliskiren allergy,XacIR
drug allergy,Prasugrel allergy,XacIS
drug allergy,Ticagrelor allergy,XacIT
drug allergy,Rivaroxaban allergy,Xad9o
drug allergy,Apixaban allergy,Xad9p
drug allergy,Transfer-degraded drug allergy,Y077d
drug allergy,[X]Personal history of allergy to other antibiotic agents,ZVu6M
drug allergy,[X]Personal history/allergy to other anti-infective agents,ZVu6N
drug allergy,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered,SN501
drug allergy,Drug-induced anaphylaxis,X70vr
drug allergy,Penicillin-induced anaphylaxis,X70vs
drug allergy,Drug-induced anaphylactoid reaction,X70w2
drug allergy,NSAID-induced anaphylactoid reaction,X70w3
drug allergy,Aspirin-induced anaphylactoid reaction,X70w4
drug allergy,Drug-aggravated angio-oedema-urticaria,X70wE
drug allergy,NSAID-induced angio-oedema-urticaria,X70wF
drug allergy,Aspirin-induced angio-oedema-urticaria,X70wG
drug allergy,Penicillin-induced angio-oedema-urticaria,Xa0WK
drug allergy,Drug-induced urticaria,X508N
eczema,H/O: eczema,14F1.
eczema,Contact eczema - eyelids,F4D31
eczema,Atopic dermatitis/eczema,M111.
eczema,Infantile eczema,M112.
eczema,Flexural eczema,M113.
eczema,Allergic (intrinsic) eczema,M114.
eczema,Discoid eczema,M119.
eczema,Discoid eczema,M1y0.
eczema,Discoid eczema,X505j
eczema,Asteatotic eczema,M11A.
eczema,Asteatotic eczema,M21A.
eczema,Asteatotic eczema,X506Q
eczema,Atopic dermatitis NOS,M11z.
eczema,Contact eczema,M12..
eczema,Contact dermatitis due to detergents,M120.
eczema,Contact dermatitis due to oils and greases,M121.
eczema,Contact dermatitis due to oils and greases,XE1Aq
eczema,Contact dermatitis due to solvents,M122.
eczema,Contact dermatitis due to chlorocompound,M1220
eczema,Contact dermatitis due to cyclohexane,M1221
eczema,Contact dermatitis due to ester,M1222
eczema,Contact dermatitis due to glycol,M1223
eczema,Contact dermatitis due to hydrocarbon,M1224
eczema,Contact dermatitis due to ketone,M1225
eczema,Contact dermatitis due to solvent NOS,M122z
eczema,Contact dermatitis due to drugs and medicaments,M123.
eczema,Contact dermatitis due to arnica,M1230
eczema,Contact dermatitis due to fungicides,M1231
eczema,Contact dermatitis due to iodine,M1232
eczema,Contact dermatitis due to keratolytics,M1233
eczema,Contact dermatitis due to mercurials,M1234
eczema,Contact dermatitis due to neomycin,M1235
eczema,Contact dermatitis due to pediculocides,M1236
eczema,Contact dermatitis due to phenols,M1237
eczema,Contact dermatitis due to scabicides,M1238
eczema,Contact dermatitis due to medicament NOS,M123z
eczema,Contact dermatitis due to other chemical products,M124.
eczema,Contact dermatitis due to acids,M1240
eczema,Contact dermatitis due to adhesive plaster,M1241
eczema,Contact dermatitis due to adhesive plaster,XE1Ar
eczema,Contact dermatitis due to alkalis,M1242
eczema,Contact dermatitis due to caustics,M1243
eczema,Contact dermatitis due to dichromate,M1244
eczema,Contact dermatitis due to insecticide,M1245
eczema,Contact dermatitis due to nylon,M1246
eczema,Contact dermatitis due to plastic,M1247
eczema,Contact dermatitis due to rubber,M1248
eczema,Contact dermatitis: other chemicals NOS,M124z
eczema,Contact dermatitis due to food in contact with skin,M125.
eczema,Contact dermatitis due to cereals,M1250
eczema,Contact dermatitis due to fish,M1251
eczema,Contact dermatitis due to flour,M1252
eczema,Contact dermatitis due to fruit,M1253
eczema,Contact dermatitis due to meat,M1254
eczema,Contact dermatitis due to milk,M1255
eczema,Contact dermatitis due to food NOS,M125z
eczema,Contact dermatitis due to food NOS,XE1As
eczema,Contact dermatitis due to plants,M126.
eczema,Contact dermatitis due to lacquer tree,M1260
eczema,Contact dermatitis due to poison-ivy,M1261
eczema,Contact dermatitis due to poison-oak,M1262
eczema,Contact dermatitis due to poison-sumac,M1263
eczema,Contact dermatitis due to poison-vine,M1264
eczema,Contact dermatitis due to primrose,M1265
eczema,Contact dermatitis due to ragweed,M1266
eczema,Contact dermatitis due to plants NOS,M126z
eczema,Contact dermatitis due to solar radiation,M127.
eczema,Unspecified contact dermatitis due to solar radiation,M1270
eczema,Contact dermatitis due to solar radn NOS,M127z
eczema,Allergic contact dermatitis,M128.
eczema,Allergic contact dermatitis,X505x
eczema,Allergic contact dermatitis due to adhesives,M1280
eczema,Allergic contact dermatitis due to cosmetics,M1281
eczema,Allergic contact dermatitis due to drugs in contact with the skin,M1282
eczema,Allergic contact dermatitis due to dyes,M1283
eczema,Allergic contact dermatitis due to other chemical products,M1284
eczema,Allergic contact dermatitis due to food in contact with the skin,M1285
eczema,"Allergic contact dermatitis due to plants, except food",M1286
eczema,Irritant contact dermatitis,M129.
eczema,Irritant contact dermatitis,X5063
eczema,Irritant contact dermatitis due to cosmetics,M1290
eczema,Irritant contact dermatitis due to drugs in contact with the skin,M1291
eczema,Irritant contact dermatitis due to other chemical products,M1292
eczema,Irritant contact dermatitis due to food in contact with the skin,M1293
eczema,"Irritant contact dermatitis due to plants, except food",M1294
eczema,Contact dermatitis due to other specified agents,M12y.
eczema,Contact dermatitis due to cosmetics,M12y0
eczema,Contact dermatitis due to cosmetics,XE1At
eczema,Contact dermatitis due to cold weather,M12y1
eczema,Contact dermatitis due to dyes,M12y2
eczema,Contact dermatitis due to furs,M12y3
eczema,Contact dermatitis due to hot weather,M12y4
eczema,Contact dermatitis due to infra-red rays,M12y5
eczema,Contact dermatitis due to jewellery,M12y6
eczema,Contact dermatitis due to light (excluding sunlight),M12y7
eczema,Contact dermatitis due to metals,M12y8
eczema,Contact dermatitis due to metals,XE1Au
eczema,Contact dermatitis due to preservatives,M12y9
eczema,Contact dermatitis due to radiation NOS,M12yA
eczema,Contact dermatitis due to ultra-violet rays (excluding sunlight),M12yB
eczema,Contact dermatitis due to x-rays,M12yC
eczema,Contact dermatitis due to casting materials,M12yD
eczema,Contact dermatitis: specified agent NOS,M12yz
eczema,Contact dermatitis NOS,M12z.
eczema,Dermatitis NOS,M12z0
eczema,Eczema NOS,M12z1
eczema,Eczema NOS,XE1Av
eczema,Hand eczema,M12z3
eczema,Hand eczema,X505L
eczema,Contact dermatitis NOS,M12zz
eczema,Non-infectious dermatosis of eyelid,F4D3.
eczema,Ichthyosis of eyelid,F4D32
eczema,Non-infected eyelid dermatoses NOS,F4D3z
eczema,Other eyelid infective dermatitis,F4D5.
eczema,Seborrhoeic dermatitis of scalp,M100.
eczema,Seborrhoeic dermatitis (& capitis),M101.
eczema,Pityriasis simplex,M104.
eczema,Atopic dermatitis and related conditions,M11..
eczema,Napkin dermatitis,M110.
eczema,Besnier's prurigo,M115.
eczema,Brocq's neurodermatitis,M116.
eczema,Atopic neurodermatitis,M117.
eczema,Infantile seborrhoeic dermatitis,M118.
eczema,Cradle cap,M1180
eczema,Infantile seborrhoeic dermatitis NOS,M118z
eczema,Hydroa aestivale,M1272
eczema,Ingestion dermatitis,M13..
eczema,Ingestion dermatitis due to food,M131.
eczema,Ingestion dermatitis due to other specified substance,M13y.
eczema,Ingestion dermatitis NOS,M13z.
eczema,Pityriasis alba,M1650
eczema,Other lichen NEC,M17y.
eczema,Other lichen NEC NOS,M17yz
eczema,Lichen NOS,M17z.
eczema,Prurigo,M182.
eczema,Hebra's prurigo,M1821
eczema,Prurigo mitis,M1822
eczema,Prurigo simplex,M1823
eczema,Prurigo NOS,M182z
eczema,Lichenification and lichen simplex chronicus,M183.
eczema,Prurigo nodularis,M1830
eczema,Lichen simplex,M1831
eczema,Lichen simplex,M1832
eczema,Lichenification NOS,M183z
eczema,Dyshidrosis unspecified,M2520
eczema,Pompholyx unspecified,M2521
eczema,Cheiropompholyx,M2522
eczema,Podopompholyx,M2523
eczema,Dyshidrosis NOS,M252z
eczema,[X]Dermatitis and eczema,Myu2.
eczema,[X]Other seborrhoeic dermatitis,Myu20
eczema,[X]Allergic contact dermatitis due to oth chemical products,Myu21
eczema,[X]Allergic contact dermatitis due to other agents,Myu23
eczema,[X]Irritant contact dermatitis due to oth chemical products,Myu24
eczema,[X]Irritant contact dermatitis due to other agents,Myu25
eczema,[X]Unspcfd contact dermatitis due to other chemical products,Myu26
eczema,[X]Unspecified contact dermatitis due to other agents,Myu27
eczema,[X]Dermatitis due to other substances taken internally,Myu28
eczema,[X]Dermatitis due to unspecified substance taken internally,Myu29
eczema,[X]Other prurigo,Myu2A
eczema,[X]Other specified dermatitis,Myu2C
eczema,Occupational eczema,Ua1AR
eczema,Seborrhoeic blepharitis,X00YO
eczema,Neurodermatitis of external ear,X00iS
eczema,Peristomal dermatitis,X30Cp
eczema,Nipple eczema,X40Fx
eczema,Fibreglass dermatitis,X504O
eczema,Photoallergic eczema,X504v
eczema,Cactus dermatitis,X505H
eczema,Eczema,X505K
eczema,Constitutional eczema,X505M
eczema,Atopic dermatitis of hands,X505N
eczema,Inverse pattern atopic dermatitis,X505O
eczema,Discoid atopic dermatitis,X505P
eczema,Erythrodermic atopic dermatitis,X505Q
eczema,Follicular atopic dermatitis,X505R
eczema,Pruriginous atopic dermatitis,X505S
eczema,Photosensitive atopic dermatitis,X505T
eczema,Photoaggravated atopic dermatitis,X505U
eczema,Constitutional eczema of hands and feet,X505V
eczema,Acute cheiropodopompholyx,X505W
eczema,Hyperkeratotic eczema of hands and feet,X505X
eczema,Discoid eczema of hands and feet,X505Y
eczema,Constitutional eczema of hands,X505Z
eczema,Apron pattern of vesicular eczema of hands,X505a
eczema,Hyperkeratotic fissured hand eczema,X505b
eczema,Hyperkeratotic eczema of palms,X505c
eczema,Constitutional discoid hand eczema,X505d
eczema,Constitutional fingertip eczema,X505e
eczema,Constitutional eczema of feet,X505f
eczema,Acute podopompholyx,X505g
eczema,Chronic podopompholyx,X505h
eczema,Hyperkeratotic eczema of soles,X505i
eczema,Discoid hand eczema,X505k
eczema,Psoriasiform eczema,X505l
eczema,Truncal seborrhoeic dermatitis,X505o
eczema,Flexural seborrhoeic dermatitis,X505p
eczema,Seborrhoeide,X505q
eczema,Grease contact dermatitis,X505r
eczema,Oil contact dermatitis,X505s
eczema,Elastoplast contact dermatitis,X505t
eczema,Egg contact dermatitis,X505u
eczema,Lanolin contact dermatitis,X505v
eczema,Perfume contact dermatitis,X505w
eczema,Nickel sensitivity,X505y
eczema,Implant allergic nickel contact dermatitis,X505z
eczema,Ingested allergen contact dermatitis,X5060
eczema,Photoallergic contact dermatitis,X5061
eczema,Occupational allergic contact dermatitis,X5062
eczema,Acute irritant contact dermatitis,X5064
eczema,Subacute irritant contact dermatitis,X5065
eczema,Chronic irritant contact dermatitis,X5066
eczema,Jacquet's dermatitis,X5067
eczema,Saliva-induced contact dermatitis,X5068
eczema,Faeces-induced contact dermatitis,X5069
eczema,Brocq's neurodermatitis,X506C
eczema,Subacute prurigo,X506E
eczema,Chronic prurigo,X506F
eczema,Dermographic prurigo,X506G
eczema,Juvenile plantar dermatosis,X506I
eczema,Disseminated secondary eczema,X506J
eczema,Gravitational eczema,X506K
eczema,Chronic superficial scaly dermatitis,X506L
eczema,Eosinophilic pustular folliculitis,X506M
eczema,Exudative discoid and lichenoid dermatosis,X506N
eczema,Papular eczema with elimination of papillary oedema,X506O
eczema,Erythroderma,X506T
eczema,Site-specific eczema,X506U
eczema,Eczematous drug eruption,X50Gj
eczema,Seborrhoeic eczema-like eruption,X50Gk
eczema,Drug-induced erythroderma,X50Gm
eczema,Contact or allergic eyelid dermatitis,XE16i
eczema,Seborrhoeic dermatitis,XE1An
eczema,Contact dermatitis and other eczemas,XE1Ap
eczema,Ingestion dermatitis due to drugs,XE1Aw
eczema,Seborrhoeic dermatitis/eczema NOS,XE1C4
eczema,Atopic eczema/dermatitis NOS,XE1C6
eczema,Contact dermat/eczema (& [extrins allerg ecz][occupat ecz]),XE1C8
eczema,Contact dermatitis: [chemicals] or [elastoplast allergy],XE1CA
eczema,Contact dermatitis: metals(& [nickel]),XE1CE
eczema,(Contact dermat NOS) or (discoid eczema) or (nummul eczema),XE1CG
eczema,Dermatitis &/or eczemas NOS,XE1CI
eczema,Neurodermatitis,XE1CW
eczema,(Pompholyx) or (cheiropompholyx) or (podopompholyx),XE1Cu
eczema,Pompholyx,XM1GA
eczema,Swimming pool dermatitis,Xa0WJ
eczema,Baboon syndrome,Xa0Wg
eczema,Dermatitis of eyelid,Xa0p8
eczema,Coral dermatitis,Xa13g
eczema,Unclassifiable eczema,Xa1dl
eczema,Contact dermatitis - chemicals,Xa3gI
eczema,Contact dermatitis - foods/plants,Xa3gJ
eczema,Nipple eczema,Xa4jb
eczema,Eczema of face,Xa7lZ
eczema,Eczema of wrist,Xa7lb
eczema,Contact dermatitis of eyelid,Xa9Bb
eczema,Contact dermatitis,Xa9CV
eczema,Eczema of leg,XaBml
eczema,Eczema of foot,XaBmm
eczema,Chronic lichenified atopic dermatitis,XaBsL
eczema,Varicose veins of leg in long saph vein distribn with eczema,XaEJY
eczema,Varicose veins of leg in short saph vein distrib with eczema,XaEJZ
eczema,Dry eczema,XaINK
eczema,Exacerbation of eczema,XaINM
eczema,Periocular dermatitis,XaL2Q
eczema,Pustular eczema,XaY4a
eczema,Irritant contact dermatitis due to incontinence,XaYX9
eczema,Contact dermatitis due to dressing,Y033e
eczema,Other atopic dermatitis,Y3295
eczema,Intrinsic (allergic) eczema,Y7351
food allergy,H/O: food allergy,14M1.
food allergy,Food allergy,SN58.
food allergy,Food allergy,Xa1aX
food allergy,Egg allergy,SN580
food allergy,Egg allergy,Xa1nm
food allergy,Egg protein allergy,SN581
food allergy,Peanut allergy,SN582
food allergy,Peanut allergy,Xa1no
food allergy,Nut allergy,SN583
food allergy,Nut allergy,Xa7lJ
food allergy,Wheat allergy,SN584
food allergy,Wheat allergy,XaOYT
food allergy,Fish allergy,SN585
food allergy,Fish allergy,XaQaY
food allergy,Seafood allergy,SN586
food allergy,Seafood allergy,Xa1np
food allergy,Shellfish allergy,SN587
food allergy,Shellfish allergy,Xa7lO
food allergy,Mushroom allergy,SN588
food allergy,Mushroom allergy,XaXYk
food allergy,Allergy to strawberries,SN589
food allergy,Allergy to strawberries,Xa7lI
food allergy,Allergy to soya,SN58A
food allergy,Allergy to soya,Xaa0d
food allergy,Cow's milk allergy,Xa1nn
food allergy,Dietary education for food allergy,Xa2hN
food allergy,Chocolate allergy,Xa7lN
food allergy,Cheese allergy,Xa7lP
food allergy,Non-coeliac gluten sensitivity,XaPlY
food allergy,Gluten sensitivity,XaYPH
food allergy,Allergy to banana,XabWn
food allergy,Allergy to tomato,Xad15
food allergy,Wheat Allergy,Y06ac
food allergy,Anaphylactic shock due to adverse food reaction,SN500
food allergy,[V]Personal history of food induced anaphylaxis,ZV1B3
food allergy,[V]Personal history of food induced anaphylaxis,XaG0G
food allergy,Food-induced anaphylaxis,X70vm
food allergy,Peanut-induced anaphylaxis,X70vn
food allergy,Seafood-induced anaphylaxis,X70vo
food allergy,Egg white-induced anaphylaxis,X70vp
food allergy,Cow's milk protein-induced anaphylaxis,X70vq
food allergy,Food-induced anaphylactoid reaction,X70w1
food allergy,Food-induced angio-oedema-urticaria,X70wD
other allergy,H/O: non-drug allergy,14M..
other allergy,H/O: plant allergy,14M2.
other allergy,H/O: multiple allergies,14M3.
other allergy,H/O: cat allergy,14M4.
other allergy,H/O: cat allergy,XaIO5
other allergy,Skin: type 3 delayed reaction,3354.
other allergy,Skin: type 1 immediate reaction,3355.
other allergy,Skin: type 4 late reaction,3356.
other allergy,Allergy skin test positive,3359.
other allergy,Allergy test positive,3368.
other allergy,Allergic disorder monitoring,66G..
other allergy,Allergic dis. initial assessm.,66G1.
other allergy,Allergic dis. follow-up assess,66G2.
other allergy,Allergic dis.- symptom change,66G3.
other allergy,Allergy treatment changed,66G5.
other allergy,Allergy dis.treatment started,66G6.
other allergy,Allergy dis.treatment started,Y5367
other allergy,Allergy dis.treatment stopped,66G7.
other allergy,Carries adrenaline preloaded injection pen,66G8.
other allergy,Allergic dis. monitoring NOS,66GZ.
other allergy,Allergic purpura,D310.
other allergy,Henoch-Schonlein nephritis,D3101
other allergy,Allergic purpura NOS,D310z
other allergy,Allergic eosinophilia,D4033
other allergy,Chronic allergic otitis media,F5130
other allergy,Allergic otitis media NOS,F5140
other allergy,Extrinsic allergic alveolitis,H35..
other allergy,Farmers' lung,H350.
other allergy,Bagassosis,H351.
other allergy,Bird-fancier's lung,H352.
other allergy,Budgerigar-fanciers' lung,H3520
other allergy,Pigeon-fanciers' lung,H3521
other allergy,Bird-fancier's lung NOS,H352z
other allergy,Suberosis ( cork-handlers' lung ),H353.
other allergy,Malt workers' lung,H354.
other allergy,Mushroom workers' lung,H355.
other allergy,Maple bark strippers' lung,H356.
other allergy,Ventilation pneumonitis,H357.
other allergy,Other allergic alveolitis,H35y.
other allergy,Cheese-washers' lung,H35y0
other allergy,Coffee-workers' lung,H35y1
other allergy,Fish-meal workers' lung,H35y2
other allergy,Furriers' lung,H35y3
other allergy,Grain-handlers' disease,H35y4
other allergy,Pituitary snuff-takers' disease,H35y5
other allergy,Air-conditioner and humidifier lung,H35y8
other allergy,Other allergic alveolitis NOS,H35yz
other allergy,Allergic alveolitis and pneumonitis NOS,H35z.
other allergy,Allergic extrinsic alveolitis NOS,H35z0
other allergy,Hypersensitivity pneumonitis NOS,H35z1
other allergy,Allergic alveolitis and pneumonitis NOS,H35zz
other allergy,Allergic parotitis,J0720
other allergy,Allergic gastritis,J1540
other allergy,Allergic gastroentiritis and colitis,J432.
other allergy,Allergic gastroenteritis,J4320
other allergy,Allergic enteritis,J4321
other allergy,Allergic enterocolitis,J4322
other allergy,Allergic colitis,J4323
other allergy,Allergic gastroenteritis NOS,J432z
other allergy,Allergic arthritis,N062.
other allergy,Allergic arthritis of unspecified site,N0620
other allergy,Allergic arthritis of the shoulder region,N0621
other allergy,Allergic arthritis of the upper arm,N0622
other allergy,Allergic arthritis of the forearm,N0623
other allergy,Allergic arthritis of the hand,N0624
other allergy,Allergic arthritis of the pelvic region and thigh,N0625
other allergy,Allergic arthritis of the lower leg,N0626
other allergy,Allergic arthritis of the ankle and foot,N0627
other allergy,Allergic arthritis of other specified site,N0628
other allergy,Allergic arthritis of multiple sites,N0629
other allergy,Allergic arthritis NOS,N062z
other allergy,Allergy,SN53.
other allergy,Allergic reaction,SN530
venom allergy,Allergic reaction to insect bite,SN591
other allergy,Cat allergy,X00l3
other allergy,Dander (animal) allergy,X00l4
other allergy,Feather allergy,X00l5
other allergy,House dust allergy,X00l6
other allergy,House dust mite allergy,X00l7
other allergy,Acute allergic reaction,X70vh
other allergy,Allergy - mechanism,X79pp
other allergy,Purpura: [allergic] or [Henoch-Schonlein allergy],XE14s
other allergy,"Allergy, unspecified",XE1ot
other allergy,Allergic reaction NOS,XM0xz
other allergy,Atopy,XSIe5
other allergy,Allergic disorder,Xa1pQ
other allergy,Allergic reaction to substance,Xa1zh
venom allergy,Allergic reaction to venom,Xa1zi
venom allergy,Allergic reaction to insect venom,Xa1zj
venom allergy,Allergic reaction to bee sting,Xa1zk
other allergy,Perfume allergy,Xa7lH
venom allergy,Allergic reaction to wasp sting,Xa7lK
other allergy,Allergy to pollen,Xa7lL
other allergy,Allergy to animal hair,Xa7lM
other allergy,Metal allergy,Xa7lQ
other allergy,Latex allergy,Xa7lR
other allergy,Admission to clinical allergy department,XaANA
other allergy,Seen by clinical allergy - service,XaAVM
other allergy,Referral to clinical allergy service,XaAcO
other allergy,Discharge from clinical allergy service,XaAlN
other allergy,Allergic skin rash,XaB3a
other allergy,Dust allergy,XaIRZ
other allergy,Allergy to animal,XaIpW
other allergy,Allergy - specialty,XaJKf
other allergy,Transfer-degraded non-drug allergy,XaLGS
other allergy,Allergy to plasters,XaLKU
other allergy,Oral allergy syndrome,XaNfE
other allergy,Allergic reaction to tattoo ink,XaO5S
other allergy,Allergy to dog dander,XaOb5
other allergy,Allergy to grass pollen,XaOj7
other allergy,[X]Personal history of allergy to bisoprolol,XaQaf
other allergy,[X]Personal history of allergy to carvedilol,XaQag
other allergy,[X]Personal history of allergy to nebivolol,XaQah
other allergy,Allergy to cosmetic product,XaYzE
other allergy,Private referral to allergy specialist,XaZu1
other allergy,Referral to paediatric allergy service,Xaacn
other allergy,Allergy to stainless steel,XaeXG
other allergy,Dog allergy,Y016b
other allergy,Transfer-degraded non-drug Allergy,Y077f
other allergy,Allergy to Plasters,Y1367
other allergy,Reason for vaccine non-administration: Egg Allergy,Y1fe0
other allergy,Verification of allergy status,Y203f
other allergy,Lentil Allergy,Y2199
other allergy,H/O: gentamycin allergy,Y6997
other allergy,[V]Personal history of non-drug allergy,ZV150
other allergy,[X]Personal history/allergy/other drugs+biologicl substances,ZVu6P
other allergy,"[X]Personl history/allergy,oth than/drugs+biologicl substnce",ZVu6T
rhinitis,Other seasonal allergic rhinitis,Hyu20
rhinitis,Other allergic rhinitis,Hyu21
rhinitis,Rhinitis - acute,H00..
rhinitis,Chronic rhinitis,H120.
rhinitis,Chronic rhinitis,XE0Xx
rhinitis,Chronic simple rhinitis,H1200
rhinitis,Chronic catarrhal rhinitis,H1201
rhinitis,Chronic catarrhal rhinitis,XE0Xy
rhinitis,Chronic hypertrophic rhinitis,H1202
rhinitis,Chronic atrophic rhinitis,H1203
rhinitis,Chronic membranous rhinitis,H1206
rhinitis,Chronic fibrinous rhinitis,H1207
rhinitis,Chronic rhinitis NOS,H120z
rhinitis,Allergic rhinitis,H17..
rhinitis,Allergic rhinitis,XE0Y5
rhinitis,Allergic rhinitis due to pollens,H170.
rhinitis,Allergic rhinitis due to pollens,XE2QI
rhinitis,Allergic rhinitis due to other allergens,H171.
rhinitis,Allergic rhinitis due to other allergens,XE0Y6
other allergy,Allergy to animal,H1710
other allergy,Dog allergy,H1711
rhinitis,Allergic rhinitis due to unspecified allergen,H172.
rhinitis,Allergic rhinitis due to unspecified allergen,XE0Y7
rhinitis,Allergic rhinitis NOS,H17z.
rhinitis,Vasomotor rhinitis,H18..
rhinitis,Hay fever with asthma,H3300
rhinitis,Hay fever with asthma,X1020
rhinitis,Hay fever - other allergen,X00l8
rhinitis,Hay fever - unspecified allergen,X00l9
rhinitis,Acute irritant rhinitis,X00kx
rhinitis,Rhinitis sicca,X00ky
rhinitis,Perennial allergic rhinitis,X00lA
rhinitis,Perennial allergic rhinitis with seasonal variation,X00lB
rhinitis,(Allerg rhinitis: [NOS][perenn][season]) or (vasomotor rhin),XE0Z5
rhinitis,Seasonal allergic rhinitis,Xa0lX
rhinitis,Vasomotor and allergic rhinitis,Y9979
venom allergy,Venom allergy,SN59.
venom allergy,Anaphylactic shock due to bee sting,SN593
venom allergy,Anaphylactic shock due to wasp sting,SN594
venom allergy,Venom-induced anaphylaxis,X70vi
venom allergy,Bee sting-induced anaphylaxis,X70vj
venom allergy,Wasp sting-induced anaphylaxis,X70vk
venom allergy,Venom-induced angio-oedema-urticaria,X70wC
